product_id,neg,neu,pos,compound
B07JW9H4J1,0.032,0.744,0.224,0.9033
B098NS6PVG,0.01,0.821,0.169,0.9853
B096MSW6CT,0.0,0.641,0.359,0.6808
B08HDJ86NZ,0.028,0.8,0.172,0.8316
B08CF3B7N1,0.116,0.719,0.165,0.9809
B08Y1TFSP6,0.087,0.573,0.34,0.6611
B08WRWPM22,0.028,0.864,0.109,0.8735
B08DDRGWTJ,0.051,0.801,0.148,0.9334
B082LZGK39,0.01,0.821,0.169,0.9853
B08CF3D7QR,0.064,0.797,0.139,0.9236
B0789LZTCJ,0.028,0.8,0.172,0.8316
B085DTN6R2,0.04,0.691,0.269,0.9877
B09KLVMZ3B,0.025,0.768,0.207,0.9719
B083342NKJ,0.038,0.658,0.304,0.9698
B0B6F7LX4C,0.123,0.613,0.264,0.9625
B082LSVT4B,0.01,0.821,0.169,0.9853
B08WRBG3XW,0.089,0.834,0.077,-0.2724
B08DPLCM6T,0.108,0.678,0.214,0.875
B09C6HXFC1,0.0,0.631,0.369,0.9918
B085194JFL,0.066,0.843,0.09,0.1729
B09F6S8BT6,0.17,0.745,0.085,-0.8476
B09NHVCHS9,0.0,0.713,0.287,0.9817
B0B1YVCJ2Y,0.05,0.782,0.168,0.9988
B01M4GGIVU,0.054,0.782,0.164,0.9816
B08B42LWKN,0.062,0.78,0.157,0.9966
B094JNXNPV,0.066,0.833,0.101,0.7626
B09W5XR9RT,0.0,0.788,0.212,0.9686
B077Z65HSD,0.013,0.781,0.206,0.9849
B00NH11PEY,0.019,0.881,0.1,0.9387
B09CMM3VGK,0.047,0.812,0.141,0.9695
B08QSC1XY8,0.029,0.742,0.229,0.96
B008FWZGSG,0.0,0.707,0.293,0.9771
B0B4HJNPV4,0.023,0.827,0.15,0.836
B08Y1SJVV5,0.082,0.542,0.376,0.8081
B07XLCFSSN,0.034,0.695,0.271,0.9934
B09RZS1NQT,0.049,0.701,0.25,0.9906
B0B3MMYHYW,0.119,0.784,0.097,-0.9821
B09C6HWG18,0.045,0.754,0.201,0.9839
B09JPC82QC,0.056,0.78,0.164,0.9998
B07JW1Y6XV,0.032,0.744,0.224,0.9033
B07KRCW6LZ,0.049,0.77,0.181,0.969
B09NJN8L25,0.0,0.713,0.287,0.9817
B07XJYYH7L,0.046,0.927,0.027,-0.1531
B002PD61Y4,0.049,0.787,0.164,0.8718
B09L8DSSFH,0.052,0.773,0.174,0.9612
B07232M876,0.048,0.826,0.127,0.9989
B07P681N66,0.055,0.848,0.098,0.9846
B0711PVX6Z,0.048,0.826,0.127,0.9989
B082T6V3DT,0.015,0.815,0.169,0.9893
B07MKFNHKG,0.042,0.871,0.087,0.9516
B0BFWGBX61,0.059,0.71,0.231,0.9562
B01N90RZ4M,0.05,0.811,0.139,0.5719
B09Q5SWVBJ,0.062,0.78,0.157,0.9966
B0B4DT8MKT,0.035,0.78,0.185,0.9651
B08CDKQ8T6,0.0,0.842,0.158,0.8719
B07B275VN9,0.022,0.822,0.156,0.8854
B0B15CPR37,0.047,0.8,0.152,0.9984
B0994GFWBH,0.063,0.855,0.081,0.1181
B01GGKZ0V6,0.056,0.78,0.164,0.9291
B09F9YQQ7B,0.069,0.75,0.181,0.9836
B09Q8HMKZX,0.022,0.753,0.225,0.9896
B0B9XN9S3W,0.033,0.833,0.134,0.9657
B07966M8XH,0.0,0.774,0.226,0.96
B01GGKYKQM,0.0,0.793,0.207,0.9815
B0B86CDHL1,0.051,0.849,0.099,0.9129
B0B5ZF3NRK,0.016,0.766,0.218,0.9477
B09RFC46VP,0.069,0.75,0.181,0.9836
B08R69VDHT,0.035,0.789,0.176,0.9691
B09RWZRCP1,0.051,0.808,0.14,0.9929
B09CMP1SC8,0.053,0.735,0.212,0.9924
B09YLXYP7Y,0.026,0.676,0.298,0.9511
B09ZPM4C2C,0.02,0.859,0.122,0.886
B0B2DJDCPX,0.037,0.769,0.194,0.8402
B0BCZCQTJX,0.083,0.715,0.202,0.9786
B07LGT55SJ,0.032,0.744,0.224,0.9033
B09NKZXMWJ,0.0,0.713,0.287,0.9817
B08QX1CC14,0.07,0.734,0.195,0.9425
B0974H97TJ,0.0,0.719,0.281,0.9829
B07GVGTSLN,0.032,0.805,0.163,0.9577
B09VCHLSJF,0.119,0.784,0.097,-0.9821
B0B1YZX72F,0.05,0.782,0.168,0.9988
B092BJMT8Q,0.047,0.8,0.152,0.9984
B0BMXMLSMM,0.044,0.662,0.294,0.9934
B07JH1C41D,0.032,0.744,0.224,0.9033
B0141EZMAI,0.024,0.821,0.155,0.9036
B09Q5P2MT3,0.062,0.78,0.157,0.9966
B08HDH26JX,0.028,0.8,0.172,0.8316
B09VT6JKRP,0.0,0.735,0.265,0.9636
B09T3KB6JZ,0.019,0.88,0.101,0.9879
B093QCY6YJ,0.0,0.876,0.124,0.7933
B093ZNQZ2Y,0.048,0.78,0.172,0.9401
B08LKS3LSP,0.077,0.839,0.084,0.1546
B00V4BGDKU,0.053,0.791,0.156,0.9919
B08CHKQ8D4,0.049,0.769,0.183,0.9145
B09BW334ML,0.057,0.719,0.223,0.8934
B082T6GVLJ,0.064,0.757,0.18,0.8501
B07DL1KC3H,0.074,0.801,0.125,0.8014
B0B6F98KJJ,0.123,0.613,0.264,0.9625
B07JNVF678,0.044,0.757,0.199,0.9774
B09QGZFBPM,0.073,0.622,0.305,0.9895
B07JGDB5M1,0.032,0.744,0.224,0.9033
B0981XSZJ7,0.035,0.776,0.19,0.9727
B0B9XLX8VR,0.069,0.758,0.174,0.995
B08Y5KXR6Z,0.087,0.573,0.34,0.6611
B09F6VHQXB,0.052,0.694,0.253,0.974
B0974G5Q2Y,0.013,0.781,0.206,0.9849
B09YL9SN9B,0.023,0.754,0.223,0.9975
B09RX1FK54,0.051,0.808,0.14,0.9929
B09TT6BFDX,0.0,0.739,0.261,0.8727
B09KH58JZR,0.099,0.833,0.068,-0.8288
B09DDCQFMT,0.06,0.766,0.174,0.8402
B08RP2L2NL,0.05,0.855,0.094,0.6475
B0B4G2MWSB,0.063,0.855,0.081,0.1181
B0B21C4BMX,0.076,0.735,0.189,0.9557
B084MZXJNK,0.116,0.685,0.199,0.7896
B0BHZCNC4P,0.0,0.913,0.087,0.6249
B0B16KD737,0.041,0.795,0.164,0.8984
B099K9ZX65,0.043,0.767,0.19,0.9986
B08Y55LPBF,0.069,0.75,0.181,0.9836
B015OW3M1W,0.028,0.807,0.166,0.9785
B01D5H8ZI8,0.09,0.811,0.099,-0.2621
B09X1M3DHX,0.035,0.657,0.309,0.9418
B09MM6P76N,0.032,0.771,0.197,0.9916
B01D5H8LDM,0.0,0.771,0.229,0.958
B0B1YY6JJL,0.05,0.782,0.168,0.9988
B09QGZM8QB,0.073,0.622,0.305,0.9895
B08L4SBJRY,0.07,0.706,0.224,0.9883
B09X79PP8F,0.065,0.767,0.168,0.8045
B082T6GVG9,0.167,0.742,0.091,-0.6181
B0B3XY5YT4,0.108,0.737,0.155,0.934
B0B4HKH19N,0.023,0.827,0.15,0.836
B08TGG316Z,0.0,0.851,0.149,0.8583
B071VMP1Z4,0.089,0.817,0.094,-0.3434
B071SDRGWL,0.013,0.781,0.206,0.9849
B08PSQRW2T,0.032,0.832,0.136,0.9641
B0859M539M,0.055,0.848,0.098,0.9846
B08RX8G496,0.061,0.799,0.14,0.9422
B08CS3BT4L,0.07,0.804,0.125,0.9886
B00RFWNJMC,0.117,0.79,0.093,-0.3071
B082T6GXS5,0.07,0.691,0.238,0.9788
B09CMQRQM6,0.033,0.748,0.22,0.9951
B005LJQMCK,0.063,0.755,0.182,0.9457
B09C6H53KH,0.055,0.796,0.149,0.9743
B0BB3CBFBM,0.065,0.755,0.18,0.9913
B08QSDKFGQ,0.029,0.742,0.229,0.96
B08PV1X771,0.17,0.745,0.085,-0.8476
B07YTNKVJQ,0.051,0.801,0.148,0.9334
B0117H7GZ6,0.043,0.87,0.087,0.9778
B09XJ1LM7R,0.413,0.587,0.0,-0.7926
B084N133Y7,0.116,0.685,0.199,0.7896
B088Z1YWBC,0.027,0.793,0.179,0.9998
B07VSG5SXZ,0.054,0.824,0.122,0.8115
B08RWCZ6SY,0.098,0.779,0.123,0.3821
B07KSB1MLX,0.035,0.837,0.128,0.9745
B081FG1QYX,0.058,0.839,0.102,0.9448
B08R69WBN7,0.035,0.789,0.176,0.9691
B0B3RHX6B6,0.035,0.664,0.301,0.9246
B084N18QZY,0.043,0.747,0.211,0.9892
B081NHWT6Z,0.03,0.71,0.26,0.9826
B07JPJJZ2H,0.044,0.757,0.199,0.9774
B09JKNF147,0.0,0.807,0.193,0.9039
B0B9959XF3,0.084,0.656,0.26,0.9985
B09PNR6F8Q,0.019,0.799,0.182,0.9108
B07M69276N,0.016,0.832,0.152,0.9893
B0B1YZ9CB8,0.05,0.782,0.168,0.9988
B09YLYB9PB,0.026,0.676,0.298,0.9511
B08CTNJ985,0.052,0.82,0.128,0.9446
B0BP7XLX48,0.0,0.588,0.412,0.9382
